Year,Issue,% who say ___ should be a top priority for the president and Congress,Year Rank
2022,Securing Social Security,57,5
2022,Defending against terrorism,55,6
2022,Improving political system,52,7
2022,Reducing crime,52,7
2022,Improving job situation,52,7
2022,Dealing with immigration,49,10
2022,Reducing budget deficit,45,11
2022,Addressing criminal justice system,45,11
2022,Dealing with problems of poor people,44,13
2022,Dealing with climate change,42,14
2022,Addressing issues around race,37,15
2022,Strengthening military,37,15
2022,Dealing with global trade,35,17
2022,Dealing with drug addiction,31,18
2024,Strengthening nation's economy,73,1
2024,Defending against terrorism,63,2
2024,Reducing influence of money in politics,62,3
2024,Reducing health care costs,60,4
2024,Improving education,60,4
2024,Making Social Security financially sound,60,4
2024,Reducing crime,58,7
2024,Dealing with immigration,57,8
2024,Reducing availability of illegal drugs,55,9
2024,Reducing budget deficit,54,10
2024,Improving the way the political system works,52,11
2024,Improving job situation,49,12
2024,Improving energy system,46,13
2024,Protecting the environment,45,14
2024,Dealing with problems of poor people,44,15
2024,Improving transportation,44,15
2024,Strengthening military,40,17
2024,Dealing with climate change,36,18
2024,Addressing issues around race,32,19
2024,Dealing with global trade,31,20
